[#<Token Comment::Multiline>, "{- Make a GET request to load a book called \"Public Opinion\"\n\n Read how it works:\n   https://guide.elm-lang.org/effects/http.html\n\n-}"]
[#<Token Text>, "\n\n"]
[#<Token Keyword>, "import"]
[#<Token Text>, " "]
[#<Token Keyword::Type>, "Browser"]
[#<Token Text>, "\n"]
[#<Token Keyword>, "import"]
[#<Token Text>, " "]
[#<Token Keyword::Type>, "Html"]
[#<Token Text>, " "]
[#<Token Keyword>, "exposing"]
[#<Token Text>, " "]
[#<Token Punctuation>, "("]
[#<Token Keyword::Type>, "Html"]
[#<Token Operator>, ","]
[#<Token Text>, " "]
[#<Token Name>, "text"]
[#<Token Operator>, ","]
[#<Token Text>, " "]
[#<Token Name>, "pre"]
[#<Token Punctuation>, ")"]
[#<Token Text>, "\n"]
[#<Token Keyword>, "import"]
[#<Token Text>, " "]
[#<Token Keyword::Type>, "Http"]
[#<Token Text>, "\n\n"]
[#<Token Comment::Single>, "-- MAIN"]
[#<Token Text>, "\n\n"]
[#<Token Name>, "main"]
[#<Token Text>, " "]
[#<Token Operator>, "="]
[#<Token Text>, "\n  "]
[#<Token Keyword::Type>, "Browser"]
[#<Token Operator>, "."]
[#<Token Name>, "element"]
[#<Token Text>, "\n    "]
[#<Token Punctuation>, "{"]
[#<Token Text>, " "]
[#<Token Name>, "init"]
[#<Token Text>, " "]
[#<Token Operator>, "="]
[#<Token Text>, " "]
[#<Token Name>, "init"]
[#<Token Text>, "\n    "]
[#<Token Operator>, ","]
[#<Token Text>, " "]
[#<Token Name>, "update"]
[#<Token Text>, " "]
[#<Token Operator>, "="]
[#<Token Text>, " "]
[#<Token Name>, "update"]
[#<Token Text>, "\n    "]
[#<Token Operator>, ","]
[#<Token Text>, " "]
[#<Token Name>, "subscriptions"]
[#<Token Text>, " "]
[#<Token Operator>, "="]
[#<Token Text>, " "]
[#<Token Name>, "subscriptions"]
[#<Token Text>, "\n    "]
[#<Token Operator>, ","]
[#<Token Text>, " "]
[#<Token Name>, "view"]
[#<Token Text>, " "]
[#<Token Operator>, "="]
[#<Token Text>, " "]
[#<Token Name>, "view"]
[#<Token Text>, "\n    "]
[#<Token Punctuation>, "}"]
[#<Token Text>, "\n\n"]
[#<Token Comment::Single>, "-- MODEL"]
[#<Token Text>, "\n\n"]
[#<Token Keyword>, "type"]
[#<Token Text>, " "]
[#<Token Keyword::Type>, "Model"]
[#<Token Text>, "\n  "]
[#<Token Operator>, "="]
[#<Token Text>, " "]
[#<Token Keyword::Type>, "Failure"]
[#<Token Text>, "\n  "]
[#<Token Operator>, "|"]
[#<Token Text>, " "]
[#<Token Keyword::Type>, "Loading"]
[#<Token Text>, "\n  "]
[#<Token Operator>, "|"]
[#<Token Text>, " "]
[#<Token Keyword::Type>, "Success"]
[#<Token Text>, " "]
[#<Token Keyword::Type>, "String"]
[#<Token Text>, "\n\n\n"]
[#<Token Name>, "init"]
[#<Token Text>, " "]
[#<Token Punctuation>, ":"]
[#<Token Text>, " "]
[#<Token Punctuation>, "()"]
[#<Token Text>, " "]
[#<Token Operator>, "->"]
[#<Token Text>, " "]
[#<Token Punctuation>, "("]
[#<Token Keyword::Type>, "Model"]
[#<Token Operator>, ","]
[#<Token Text>, " "]
[#<Token Keyword::Type>, "Cmd"]
[#<Token Text>, " "]
[#<Token Keyword::Type>, "Msg"]
[#<Token Punctuation>, ")"]
[#<Token Text>, "\n"]
[#<Token Name>, "init"]
[#<Token Text>, " "]
[#<Token Name>, "_"]
[#<Token Text>, " "]
[#<Token Operator>, "="]
[#<Token Text>, "\n  "]
[#<Token Punctuation>, "("]
[#<Token Text>, " "]
[#<Token Keyword::Type>, "Loading"]
[#<Token Text>, "\n  "]
[#<Token Operator>, ","]
[#<Token Text>, " "]
[#<Token Keyword::Type>, "Http"]
[#<Token Operator>, "."]
[#<Token Name>, "get"]
[#<Token Text>, "\n      "]
[#<Token Punctuation>, "{"]
[#<Token Text>, " "]
[#<Token Name>, "url"]
