[#<Token Literal::Number::Integer>, "42"]
[#<Token Text>, "\n"]
[#<Token Literal::Number::Float>, "3.14"]
[#<Token Text>, "\n"]
[#<Token Literal::String::Double>, "\"foo\""]
[#<Token Text>, "\n"]
[#<Token Literal::String::Single>, "'bar'"]
[#<Token Text>, "\n"]
[#<Token Literal::String::Double>, "`foo \#{42} bar`"]
[#<Token Text>, "\n"]
[#<Token Punctuation>, "["]
[#<Token Literal::String::Double>, "\"foo\""]
[#<Token Punctuation>, ","]
[#<Token Text>, " "]
[#<Token Literal::String::Double>, "\"bar\""]
[#<Token Punctuation>, "]"]
[#<Token Text>, "\n"]
[#<Token Punctuation>, "{"]
[#<Token Literal::String::Double>, "\"foo\""]
[#<Token Punctuation>, ":"]
[#<Token Text>, " "]
[#<Token Literal::String::Double>, "\"bar\""]
[#<Token Punctuation>, "}"]
[#<Token Text>, "\n"]
[#<Token Punctuation>, "{"]
[#<Token Name::Label>, "foo"]
[#<Token Punctuation>, ":"]
[#<Token Text>, " "]
[#<Token Literal::String::Double>, "\"bar\""]
[#<Token Punctuation>, "}"]
[#<Token Text>, "\n"]
[#<Token Literal::String::Regex>, "/foo|bar/"]
[#<Token Text>, "\n"]
